,Treatment,Tissue,Timepoint,Custome
Control_ZT1_1,Control,Leaves,1hALO,Unknown
Control_ZT1_2,Control,Leaves,1hALO,Unknown
Control_ZT5_1,Control,Leaves,5hALO,Unknown
Control_ZT5_2,Control,Leaves,5hALO,Unknown
Control_ZT9_1,Control,Leaves,9hALO,Unknown
Control_ZT9_2,Control,Leaves,9hALO,Unknown
Control_ZT13_1,Control,Leaves,1hBLO,Unknown
Control_ZT13_2,Control,Leaves,1hBLO,Unknown
Control_ZT17_1,Control,Leaves,3hALO,Unknown
Control_ZT17_2,Control,Leaves,3hALO,Unknown
Control_ZT21_1,Control,Leaves,3hBLO,Unknown
Control_ZT21_2,Control,Leaves,3hBLO,Unknown
Control_ZT1_1,Control,Leaves,1hALO,Unknown
Control_ZT1_2,Control,Leaves,1hALO,Unknown
Control_ZT5_1,Control,Leaves,5hALO,Unknown
Control_ZT5_2,Control,Leaves,5hALO,Unknown
Control_ZT9_1,Control,Leaves,9hALO,Unknown
Control_ZT9_2,Control,Leaves,9hALO,Unknown
Control_ZT13_1,Control,Leaves,1hBLO,Unknown
Control_ZT13_2,Control,Leaves,1hBLO,Unknown
Control_ZT17_1,Control,Leaves,3hALO,Unknown
Control_ZT17_2,Control,Leaves,3hALO,Unknown
Control_ZT21_1,Control,Leaves,3hBLO,Unknown
Control_ZT21_2,Control,Leaves,3hBLO,Unknown
Drought_ZT1_1,Drought,Leaves,1hALO,Unknown
Drought_ZT1_2,Drought,Leaves,1hALO,Unknown
Drought_ZT5_1,Drought,Leaves,5hALO,Unknown
Drought_ZT5_2,Drought,Leaves,5hALO,Unknown
Drought_ZT9_1,Drought,Leaves,9hALO,Unknown
Drought_ZT9_2,Drought,Leaves,9hALO,Unknown
Drought_ZT13_1,Drought,Leaves,1hBLO,Unknown
Drought_ZT13_2,Drought,Leaves,1hBLO,Unknown
Drought_ZT17_1,Drought,Leaves,3hALO,Unknown
Drought_ZT17_2,Drought,Leaves,3hALO,Unknown
Drought_ZT21_1,Drought,Leaves,3hBLO,Unknown
Drought_ZT21_2,Drought,Leaves,3hBLO,Unknown
Drought_ZT1_1,Drought,Leaves,1hALO,Unknown
Drought_ZT1_2,Drought,Leaves,1hALO,Unknown
Drought_ZT5_1,Drought,Leaves,5hALO,Unknown
Drought_ZT5_2,Drought,Leaves,5hALO,Unknown
Drought_ZT9_1,Drought,Leaves,9hALO,Unknown
Drought_ZT9_2,Drought,Leaves,9hALO,Unknown
Drought_ZT13_1,Drought,Leaves,1hBLO,Unknown
Drought_ZT13_2,Drought,Leaves,1hBLO,Unknown
Drought_ZT17_1,Drought,Leaves,3hALO,Unknown
Drought_ZT17_2,Drought,Leaves,3hALO,Unknown
Drought_ZT21_1,Drought,Leaves,3hBLO,Unknown
Drought_ZT21_2,Drought,Leaves,3hBLO,Unknown
